"id","pca1","pca2","k_means"
"1",-1.25781748375608,-0.39549504423959,1
"2",-0.907920148590733,-0.571095881283231,1
"3",-1.18620209139613,-0.509431034517256,1
"4",-1.66692003024608,-0.141544640995196,2
"5",-1.62986182672002,-0.680688467023997,1
"6",-1.41587215074986,-0.321408724038456,2
"7",-0.727506368810898,-0.901931694527223,1
"8",-1.16923394453407,-0.578743062447804,1
"9",-1.26813839800641,-0.663278281849909,1
"10",-1.59625137819221,-0.17424648649982,2
"11",-0.797226091421477,-0.636516121906842,1
"12",-1.02909698108323,-0.683549127904786,1
"13",-0.990631603259481,-0.55004191984541,1
"14",-1.3961811044723,-0.499171801476478,2
"15",-1.31639172003856,-0.643582517320553,1
"16",-0.719537687315071,-0.486206175233205,1
"17",-0.985106987968899,-0.561909930524108,1
"18",-1.71353413490554,0.121250125081713,2
"19",-1.42630647158919,-0.750572069452773,1
"20",-1.19688530619843,-0.299820288864138,2
"21",-1.254275174763,-0.723410968622457,1
"22",-1.31742945810852,-0.125647610554901,2
"23",-1.14510937672074,-0.890352059211834,1
"24",-1.28161534367936,-0.0797210339820522,2
"25",-1.22246265684181,-0.141344585550944,2
"26",-0.933462392691134,-0.459985952821655,1
"27",-1.22957699920218,-0.716333967821859,1
"28",-0.705860731246457,-0.419607359757117,1
"29",-0.961358384083813,-0.632979190515963,1
"30",-1.14786502306121,-0.234740205122991,2
"31",-1.03700334652809,-0.512981648631173,1
"32",-0.745669628512464,-0.414286526669178,1
"33",-1.30371442036149,-0.633846434532365,1
"34",-0.919649079115677,-0.540868437031244,1
"35",-1.11449089873952,-0.638124638148844,1
"36",-1.83273369012708,0.207015496470579,2
"37",-0.867582875486413,-0.576398013410753,1
"38",-1.09187519298365,-0.650302681470874,1
"39",-1.27856704233949,-0.872578667991128,1
"40",-0.964558641541145,-0.539499266147324,1
"41",-1.48169673064006,-0.39048374439529,2
"42",-1.03632588410475,-0.754890683795874,1
"43",-1.35406662081986,-0.623807509325859,1
"44",-1.08797191616179,-0.905417972595991,1
"45",-1.04122638771539,-0.77380508416451,1
"46",-1.25963073256499,-0.148534648511662,1
"47",-1.29098100440419,-0.637747799729774,1
"48",-1.22273554515706,-0.595466466965892,1
"49",-1.4547861111215,-0.502726719087432,1
"50",-1.30597945998249,-0.769257283919003,1
"51",-1.23914015256324,-0.628955825672004,1
"52",-1.11869585174832,-0.839918777750399,1
"53",-0.968102773411851,-0.465558544595227,1
"54",-1.72195028401554,-0.747148754518982,2
"55",-1.203747793593,-0.444194949254345,1
"56",-0.803561663372562,-0.622789853749918,1
"57",-0.757940773546509,-0.593683941127873,1
"58",-0.992467722631425,-0.39127734442657,1
"59",-1.75678216354819,-0.539811828443128,2
"60",-1.53726966920158,-0.389063728389014,2
"61",-1.61188937818074,-0.490625468267672,2
"62",-1.21600485538546,-0.475032731614327,1
"63",-1.17076537797699,-0.56766108218104,1
"64",-1.46333101656309,-0.0986053785277122,2
"65",-1.35609191889998,-0.413290472909067,2
"66",-1.29303160473393,-0.851372774187769,1
"67",-0.836429428958533,-0.398717655208696,1
"68",-1.47787534738897,-0.424171770041964,1
"69",-0.965601327099276,-0.573161083143494,1
"70",-1.67534244134674,-0.150281668293284,2
"71",-1.77456076532273,-0.0474928993121041,2
"72",-0.697817927712217,0.0617995601415188,1
"73",-0.839377145606868,-0.662422541361675,1
"74",-1.13587710887012,0.0390979494127742,2
"75",-1.32223212574605,-0.386164613399856,2
"76",-0.951013863560757,-0.500236101714337,1
"77",-1.37277800379565,-0.753373869092473,1
"78",-0.440943374052204,-0.384278379751442,1
"79",-0.981476682894172,-0.377472446201891,1
"80",-1.26090496177502,-0.666101180935975,1
"81",-1.36539927841286,-0.545611822734223,1
"82",-1.24327014332896,-0.398075711488943,1
"83",-1.07031688769617,-0.608199983396849,1
"84",-1.02118904410918,-0.5720713339916,1
"85",-1.2061125247765,-1.03958041258948,1
"86",-1.51738004979072,-0.675264757720818,1
"87",-1.15933439078393,-0.474111345850163,1
"88",-0.924363101707914,-0.351274591889834,1
"89",-0.858298896839364,-0.355511066104546,1
"90",-1.023577255313,-0.392042265266457,1
"91",-1.03929278217966,-0.487545416662032,1
"92",-1.21601502409656,-0.503674409013123,1
"93",-0.823738608061671,-0.825741837278067,1
"94",-1.21242961126544,-0.91729458201944,1
"95",-1.72131852418444,-0.324201750323418,2
"96",-1.55885954688655,0.0410468119569957,2
"97",-0.859325695031205,-0.326947084652644,1
"98",-1.11763065280232,-0.118547493907274,2
"99",-1.52918111418998,-0.853447136598878,1
"100",-0.997157139283755,-0.172751170799575,1
"101",-0.942626668226539,-0.749183190852913,1
"102",-1.12895848519902,-0.0792206034443518,2
"103",-1.24955996707325,-0.291062850522953,2
"104",-0.331389903355006,-0.430870592348345,1
"105",-0.998666719163586,-0.545191906205977,1
"106",-1.40505105565694,-0.448708481065197,1
"107",-0.712490934560861,-0.114711465013767,1
"108",-0.686628428163552,-0.310330010726015,1
"109",-1.23683265276297,-0.685667935473774,1
"110",-1.26259365252748,-0.323725928727632,2
"111",-0.815286950234128,-0.827618914179297,1
"112",-0.723672511964089,-0.294200400094088,1
"113",-1.25957193773339,-0.640083559428367,1
"114",-0.921244039863066,-0.709819378392255,1
"115",-0.844978626168808,-0.804744704272391,1
"116",-1.53467465737318,-0.166754100136365,2
"117",-1.45906505712289,-0.719919104272522,1
"118",-0.691169534476306,-0.690724671140254,1
"119",-0.839319138596567,-0.446523112449506,1
"120",-1.38547509805804,-0.903793741306076,1
"121",-0.922385267845668,-0.524521763915812,1
"122",-1.23863571141921,-0.457062464415987,1
"123",-1.16073142866335,-0.620993905041653,1
"124",-1.38766444048483,0.00891643031687245,2
"125",-1.95763560291711,-0.0748311493575061,2
"126",-1.53346326410174,0.00888555679432224,2
"127",-1.0809846829259,-0.00928778312013345,2
"128",-0.900755716983457,-0.212867151023676,1
"129",-1.14965473763607,-0.511894457582196,1
"130",-1.02726188920058,-0.623086220062348,1
"131",-1.25943503402928,-0.570796119229813,1
"132",-0.854800289648299,0.049242021567438,2
"133",-1.6206214026095,-0.651689803628927,2
"134",-1.26580094401778,-0.244572504885799,2
"135",-0.825976319343912,-0.291037879508446,1
"136",-0.903173816602897,-0.667871654931698,1
"137",-0.910330875652737,-0.565637083723201,1
"138",-0.814817098301523,-0.757218108078256,1
"139",-1.71590584936047,-0.885604044866895,1
"140",-1.18475764374146,-0.581196826015725,1
"141",-1.23488770532008,-0.526252966870622,1
"142",-1.02714819260093,-0.993800357250559,1
"143",-1.57458709920483,-0.870064851419838,1
"144",-1.20148627299078,-0.818777169640801,1
"145",-0.833834969284758,-0.281120779999468,1
"146",-0.915617255441729,-0.416961553593769,1
"147",-0.972276777921745,-0.615644901512901,1
"148",-1.25708263036628,-0.713334148189713,1
"149",-0.956757523585383,-0.356736003607593,1
"150",-0.874466374458268,-0.447073094142933,1
"151",-0.830084819100105,-0.334851146018408,1
"152",-0.949050373406732,-0.283543212005969,1
"153",-1.34611813246855,-0.585003030576806,1
"154",-1.33946741802703,-0.248003397588678,2
"155",-1.12743982054723,-0.617492561332703,1
"156",-1.18710677193175,-0.522212530775931,1
"157",-1.21684872860802,-0.258004820913231,1
"158",-1.33804748922943,-0.996429209259875,1
"159",-1.26162507196492,-0.81073031673583,1
"160",-1.04090976537471,-0.273037701866398,1
"161",-0.688545557944983,-0.517771662187963,1
"162",-1.23035226943834,-0.554815885679557,1
"163",-1.23621444870597,-0.643191227878764,1
"164",-1.08951118274126,-0.517198268054311,1
"165",-1.80422606966545,0.0629412612959309,2
"166",-1.2059859136237,-1.14089105563603,1
"167",-1.35098934970207,-0.275966603988047,1
"168",-1.12541470385538,-0.39743176744575,1
"169",-0.973949330615734,-0.785333017972238,1
"170",-0.97340365198461,-0.246310624413181,1
"171",-0.974343344352523,-0.919415414571581,1
"172",-0.594630438725201,-0.48782118967601,1
"173",-1.3465254875736,-0.809097209257789,1
"174",-1.08484835680444,-0.37195650825602,1
"175",-0.752160150079696,-0.522239855406874,1
"176",-1.22606585681361,-0.827737497082053,1
"177",-0.716577614187314,-0.412831818205795,1
"178",-1.17533276622677,-0.5757507373441,1
"179",-1.51241129483366,-0.332729539462728,2
"180",-1.09540219574801,-0.56740090402413,1
"181",-1.27682711949279,-0.336342781411874,2
"182",-1.01179241630703,-0.371697314269919,1
"183",-0.789504681392129,-0.38684577855565,1
"184",-0.873659639984961,-0.694718287959838,1
"185",-1.00629997997663,-0.350505987620265,1
"186",-1.25951332815751,-0.661899954783519,1
"187",-1.3250918684402,-0.847940315532384,1
"188",-1.55657773039831,-0.680313679668117,2
"189",-1.03780562934403,-0.236144041886313,1
"190",-1.03261186600624,-0.812779617296611,1
"191",-1.16625969167416,-0.619541211363891,1
"192",-0.986303447675887,-0.840967718933423,1
"193",-1.08578143157607,-0.207175721752777,1
"194",-1.62179935780227,-0.0275404875526503,2
"195",-1.35689148589456,-0.498808295769069,1
"196",-0.811736616419517,-0.173287068890526,1
"197",-1.23072960500708,0.195912787976376,2
"198",-0.867211554712534,-0.94222886441367,1
"199",-0.905700921823838,-0.695927590449734,1
"200",-1.24702200076474,-0.239403387065306,1
"201",-0.836992267059773,-0.725004922654599,1
"202",-1.2410749446165,-0.702573337078226,1
"203",-0.902226335626561,-0.799474417821364,1
"204",-1.3407572238719,-0.663965840063052,1
"205",-0.93231148850619,-0.4802675514848,1
"206",-1.08269317386771,-0.180597311397869,1
"207",-1.19042537491749,-0.736060782291692,1
"208",-0.688771384747476,-0.547747032366409,1
"209",-1.07291012155607,-1.03594162363626,1
"210",-1.46295563184228,-0.353479731949948,2
"211",-1.30868777676676,-0.628757769125598,1
"212",-0.6405507927212,-0.293028745086256,1
"213",-0.801713131600024,-0.733041866949312,1
"214",-1.33215210992896,-0.238418100519155,2
"215",-0.900011877198272,-0.267251635484849,1
